date,Open_Price,High_Price,Low_Price,Volume,Close_Price
01-08-2002,120,120,108.85,117853,111.55
01-09-2002,113.5,113.5,108.05,658519,109.15
01-10-2002,109,109.85,108.5,73435,109.05
01-11-2002,109,109.85,107.6,73844,108.1
01/14/2002,109.9,111.45,109.65,37013,110.65
01/15/2002,109.7,110.7,108.9,38591,109.15
01/16/2002,110.5,110.5,108,96083,108.45
01/17/2002,110,111.5,107.85,86472,111.1
01/18/2002,110.2,110.4,108.5,102148,108.75
01/21/2002,109.3,109.5,108.25,19556,108.5
01/22/2002,109.25,109.4,108.3,29630,108.7
01/23/2002,109.2,109.2,107.85,35579,108
01/24/2002,109.25,109.75,107.8,24921,108.05
01/25/2002,108,108.5,107.15,26916,107.95
01/28/2002,108.6,108.75,107,21962,107.05
01/29/2002,106.65,107.7,106.65,18067,107.5
01/30/2002,106.75,106.8,106,10814,106.35
01/31/2002,107,108.05,107,28008,108
02-01-2002,108.75,108.75,106.6,11007,107.8
02-04-2002,107.5,108.2,107.2,11970,107.2
02-05-2002,107.3,107.8,107.05,9222,107.1
02-06-2002,108.5,112,108.5,88244,111.15
02-07-2002,111.5,112.55,108.05,61762,109.6
02-08-2002,110.75,112.5,110.15,11475,111.9
02-11-2002,113,114,112.5,39227,113.1
02-12-2002,113.8,113.8,112.2,17093,112.75
02/13/2002,112.9,113.75,112.85,25382,112.95
02/14/2002,114,114.4,113.75,24912,114.35
02/15/2002,114.7,115.75,114.7,10191,115.6
02/18/2002,116,117.8,112.7,16639,116.25
02/19/2002,116.5,116.5,115.2,23605,115.7
02/20/2002,114.5,115.05,113.9,16959,114.15
02/21/2002,114.75,115.25,114.3,21205,114.7
02/22/2002,115.25,115.5,114.05,17458,115.35
02/25/2002,115.05,116,115.05,18968,115.7
02/26/2002,116.55,119.05,116.3,31561,118.3
02/27/2002,119,119.5,117,35678,117.7
02/28/2002,118.2,118.7,113,29866,113.95
03-01-2002,115.5,117.2,113.3,12659,116.25
03-04-2002,117.65,118.5,116.5,13758,116.55
03-05-2002,117.4,118.5,116.55,13235,116.75
03-06-2002,117.3,117.7,115.8,24201,116
03-07-2002,117.5,118.25,116.85,15560,118.15
03-08-2002,118.5,118.9,117.5,11549,118.5
03-11-2002,118.5,118.5,115.95,11174,116.35
03-12-2002,116.3,116.3,114.15,25834,114.35
03/13/2002,115.2,116.2,115.1,20547,115.4
03/14/2002,115.75,116.3,115.2,12120,115.25
03/15/2002,115.75,117.2,115.75,29894,116.95
03/18/2002,117.7,117.85,116.55,11051,117.05
03/19/2002,117.25,117.25,115.25,18616,115.45
03/20/2002,116.5,116.5,115.1,10622,115.85
03/21/2002,115.7,115.7,114.8,18259,115.15
03/22/2002,114.75,115,114,14844,114.4
03/26/2002,114.4,114.4,112.8,14800,112.8
03/27/2002,111.5,113.5,111.5,26170,112.85
03/28/2002,113.25,114,113,47694,113.5
04-01-2002,114.1,114.1,113.5,12848,113.9
04-02-2002,113.6,114.45,113.2,12296,113.3
04-03-2002,112.8,113.15,112,13653,112.2
04-04-2002,113,114.35,113,30521,114.1
04-05-2002,114.95,115,113.95,17168,114.05
04-08-2002,114,114.4,113,10061,113.4
04-09-2002,113.3,113.45,112.75,10100,112.95
04-10-2002,114,114.1,113,10494,114.05
04-11-2002,114.55,114.85,114,12512,114.45
04-12-2002,114.4,115,114,11261,114.4
04/15/2002,115,115,113.1,15867,113.2
04/16/2002,113.1,113.5,112.5,10370,112.6
04/17/2002,113.05,113.3,112.5,10730,113.2
04/18/2002,113.1,113.5,112.6,10176,113.05
04/19/2002,113.1,113.25,109,70911,110.45
04/22/2002,109.75,110.85,109.4,13459,110.75
04/23/2002,110.8,110.9,108.5,20667,110.55
04/24/2002,114.8,114.8,108.3,10171,110.75
04/25/2002,111.5,111.5,110.05,11290,110.4
04/26/2002,110.7,110.7,109.25,10260,109.5
04/29/2002,110,110.5,108,20929,108.05
04/30/2002,108.25,109.15,108.25,50122,108.85
05-02-2002,110,110.3,109.3,10993,109.55
05-03-2002,109.55,109.9,107.5,13130,108.4
05-06-2002,110,110.5,109.75,10880,110.25
05-07-2002,110,111.15,109.8,10280,110.85
05-08-2002,111.5,111.95,110.9,14675,111.45
05-09-2002,112.8,112.9,111.8,13879,112.35
05-10-2002,112.45,112.45,111.1,14200,111.7
05/13/2002,111.75,111.95,111.25,11701,111.7
05/14/2002,112,112.1,111.05,10175,111.7
05/15/2002,111.5,112,110.5,12239,110.8
05/16/2002,110.5,110.75,109.8,9777,109.95
05/17/2002,109,109.6,108.7,14770,109.3
05/20/2002,108.9,108.9,107.75,11000,107.85
05/21/2002,106.8,106.8,104,16482,104.7
05/22/2002,105,105.3,103.75,11377,104.3
05/23/2002,104,104.4,103.15,13303,103.4
