date,Open_Price,High_Price,Low_Price,Volume,Close_Price
10/23/2018,1072.0,1072.0,1057.6,67498,1062.13
10/24/2018,1084.0,1099.99,1060.0,39672,1070.44
10/25/2018,1067.0,1067.0,1055.55,53163,1061.31
10/26/2018,1062.0,1062.0,1048.0,78097,1050.19
10/29/2018,1061.3,1074.9,1048.0,35823,1071.67
10/30/2018,1061.8,1076.99,1061.8,50832,1068.71
10/31/2018,1069.38,1085.8,1058.0,43992,1084.76
11-01-2018,1086.25,1090.0,1081.02,24256,1086.39
11-02-2018,1098.5,1106.0,1091.0,56342,1101.83
11-05-2018,1123.9,1145.9,1094.6,40963,1101.48
11-06-2018,1104.9,1109.2,1099.0,15743,1102.18
11-07-2018,1118.5,1140.0,1101.0,10671,1109.83
11-09-2018,1107.7,1111.9,1104.71,16992,1108.22
11-12-2018,1109.01,1114.9,1094.0,58576,1097.64
11/13/2018,1095.0,1109.4,1092.0,36545,1107.84
11/14/2018,1110.0,1114.04,1099.65,53406,1104.02
11/15/2018,1115.0,1115.0,1103.15,23705,1107.94
11/16/2018,1109.0,1116.5,1109.0,48989,1114.96
11/19/2018,1115.1,1124.0,1115.1,52511,1122.4
11/20/2018,1119.25,1121.85,1113.6,39314,1115.28
11/21/2018,1115.3,1117.75,1105.28,28126,1107.02
11/22/2018,1109.7,1112.0,1101.0,75279,1103.38
11/26/2018,1109.9,1114.5,1099.0,23834,1113.24
11/27/2018,1110.0,1117.85,1107.55,38757,1116.02
11/28/2018,1116.0,1122.0,1116.0,37287,1119.59
11/29/2018,1124.2,1137.0,1124.2,32450,1135.52
11/30/2018,1135.6,1140.0,1131.0,53226,1135.08
12-03-2018,1138.0,1142.0,1047.0,58307,1137.99
12-04-2018,1135.61,1138.0,1132.5,44368,1136.17
12-05-2018,1132.94,1133.16,1124.01,40782,1126.44
12-06-2018,1122.0,1122.0,1107.23,69932,1110.17
12-07-2018,1112.0,1121.0,1070.0,44522,1119.18
12-10-2018,1118.0,1118.0,1097.45,125330,1098.83
12-11-2018,1090.25,1107.8,1082.0,108385,1105.85
12-12-2018,1106.7,1124.0,1104.65,38299,1121.69
12/13/2018,1125.3,1130.99,1121.3,50223,1125.49
12/14/2018,1128.0,1128.0,1120.1,44670,1126.52
12/17/2018,1127.0,1137.92,1127.0,51462,1136.39
12/18/2018,1133.55,1141.75,1129.05,23942,1139.11
12/19/2018,1060.0,1149.55,1060.0,26475,1145.4
12/20/2018,1142.0,1148.7,1138.4,86970,1145.25
12/21/2018,1140.0,1150.0,1075.25,130586,1125.97
12/24/2018,1130.0,1130.0,1116.3,91633,1118.37
12/26/2018,1188.0,1188.0,1103.0,34359,1123.82
12/27/2018,1128.0,1134.79,1128.0,29752,1129.83
12/28/2018,1130.1,1138.9,1130.1,63729,1135.71
12/31/2018,1134.0,1140.9,1134.0,32213,1136.75
01-01-2019,1136.75,1141.0,1130.1,30749,1139.84
01-02-2019,1136.64,1138.99,1123.7,31423,1129.73
01-03-2019,1129.5,1131.98,1116.5,46737,1118.35
01-04-2019,1118.35,1125.94,1114.1,33562,1124.91
01-07-2019,1128.0,1135.7,1124.0,38459,1125.62
01-08-2019,1125.4,1130.98,1122.55,45284,1128.57
01-09-2019,1134.8,1134.8,1123.0,61725,1132.63
01-10-2019,1136.0,1136.0,1128.7,45633,1132.48
01-11-2019,1128.0,1133.99,1122.3,65899,1126.87
01/14/2019,1128.8,1128.8,1118.9,37212,1121.67
01/15/2019,1125.9,1137.0,1125.18,67166,1135.99
01/16/2019,1136.0,1141.8,1134.26,70626,1141.27
01/17/2019,1142.0,1144.0,1135.6,50120,1141.48
01/18/2019,1141.48,1142.0,1134.0,33665,1138.33
01/21/2019,1138.0,1146.89,1138.0,44661,1144.78
01/22/2019,1144.9,1144.9,1137.0,20388,1140.69
01/23/2019,1140.0,1144.9,1131.0,34747,1133.15
01/24/2019,1133.15,1136.99,1128.6,20227,1134.71
01/25/2019,1135.0,1143.0,1125.31,38989,1129.19
01/28/2019,1129.19,1132.0,1114.81,102308,1117.81
01/29/2019,1121.0,1136.0,1110.3,53604,1118.01
01/30/2019,1120.0,1120.9,1112.05,24953,1115.95
01/31/2019,1109.55,1136.45,1108.55,26090,1134.69
02-01-2019,1109.55,1147.33,1102.65,77935,1138.57
02-04-2019,1139.0,1143.68,1131.1,20977,1143.01
02-05-2019,1143.0,1148.9,1137.74,374995,1147.12
02-06-2019,1147.0,1161.0,1146.09,603612,1154.48
02-07-2019,1155.0,1162.99,1155.0,17402,1156.98
02-08-2019,1155.0,1156.0,1142.0,14391,1146.44
02-11-2019,1145.1,1145.1,1138.5,15949,1142.15
02-12-2019,1142.15,1144.2,1134.75,15626,1135.79
02/13/2019,1139.6,1140.99,1130.0,15192,1133.2
02/14/2019,1133.0,1133.0,1125.48,39099,1128.56
02/15/2019,1130.0,1130.0,1112.6,442796,1122.46
02/18/2019,1118.0,1125.0,1115.31,58284,1116.69
02/20/2019,1118.0,1124.0,1115.35,20411,1123.17
02/21/2019,1121.5,1129.99,1121.11,27271,1127.67
02/22/2019,1130.0,1130.0,1124.0,10413,1128.97
02/25/2019,1130.0,1138.4,1130.0,17669,1136.54
02/26/2019,1130.0,1142.39,1126.0,76382,1136.25
02/27/2019,1137.01,1143.7,1125.0,84957,1129.14
02/28/2019,1132.25,1138.85,1130.26,31996,1133.6
03-01-2019,1133.6,1141.59,1133.6,27681,1137.1
03-05-2019,1130.0,1150.0,1122.0,126806,1148.89
03-06-2019,1148.0,1157.36,1148.0,32782,1155.86
03-07-2019,1160.0,1161.4,1153.06,48892,1157.51
03-08-2019,1155.0,1159.86,1152.1,54206,1158.16
03-11-2019,1162.0,1172.72,1159.0,23530,1172.26
03-12-2019,1170.0,1186.0,1170.0,42322,1184.67
03/13/2019,1183.0,1189.8,1180.85,23572,1188.24
03/14/2019,1189.9,1191.99,1185.0,25749,1187.26
03/15/2019,1187.26,1203.5,1187.26,76897,1198.87
03/18/2019,1210.0,1248.0,1195.0,41579,1199.88
03/19/2019,1199.0,1211.0,1198.25,38703,1207.37
03/20/2019,1207.0,1212.55,1204.1,38963,1206.65
03/22/2019,1207.0,1214.59,1198.0,15514,1199.8
